DISTRIBUIDORA PAMPA SUR S.R.L.
LISTA DE PRECIOS N° 48 - Vigencia 01/09/2026 al 15/09/2026
Precios expresados en pesos. Precio unitario valido comprando por bulto cerrado.
Bonif_1: 1 a 4 bultos | Bonif_2: 5 a 19 bultos | Bonif_3: 20 bultos o mas.
Las bonificaciones se aplican en cascada, no se suman.
Los precios no incluyen percepciones de IVA (RG 2408) ni de Ingresos Brutos.

codigo;ean;descripcion;marca;rubro;unidad_venta;unidades_por_bulto;precio_lista_sin_iva;alicuota_iva;precio_lista_con_iva;bonif_1;bonif_2;bonif_3;proveedor;vigencia_desde;estado
4312;7790015001118;ARVEJAS MAROLIO x 350 gr.;MAROLIO;Almacen;BULTO;24;727,19;21;879,90;0,00;3,00;5,00;Marolio SA;01/09/2026;ACTIVO
4405;7790015001125;ACEITE GIRASOL CAÑUELAS-COCINERO x 900 cc.;COCINERO;Almacen;BULTO;12;2.636,28;21;3189,90;0,00;3,00;5,00;Molinos del Sur;01/09/2026;ACTIVO
4406;7790015001132;ACEITE MEZCLA NATURA x 900 cc.;NATURA;Almacen;BULTO;12;3.181,74;21;3849,90;0,00;3,00;5,00;AGD;01/09/2026;ACTIVO
4501;7790015001149;AZUCAR LEDESMA x 1 kg.;LEDESMA;Almacen;BULTO;10;1.177,60;21;1424,90;0,00;3,00;5,00;Ledesma SAAI;01/09/2026;ACTIVO
4610;7790015001156;PURE DE TOMATE ARCOR x 520 gr.;ARCOR;Almacen;BULTO;12;855,29;21;1034,90;0,00;3,00;5,00;Arcor;01/09/2026;ACTIVO
4611;7790015001163;ARVEJAS AL NATURAL ARCOR x 350 gr.;ARCOR;Almacen;BULTO;24;818,10;21;989,90;0,00;3,00;5,00;Arcor;01/09/2026;ACTIVO
4620;7790015001170;ATUN AL ACEITE GOMES DA COSTA x 170 gr.;GOMES DA COSTA;Almacen;BULTO;24;2.545,37;21;3079,90;0,00;3,00;5,00;Gomes da Costa;01/09/2026;ACTIVO
4701;7790015001187;MERM. DE DURAZNO ARCOR x 454 gr.;ARCOR;Almacen;BULTO;12;1.545,37;21;1869,90;0,00;3,00;5,00;Arcor;01/09/2026;ACTIVO
4702;7790015001194;D.LECHE LA SERENISIMA x 400 gr.;LA SERENISIMA;Almacen;BULTO;12;2.090,83;21;2529,90;0,00;3,00;5,00;Mastellone;01/09/2026;ACTIVO
4801;7790015001200;YERBA ROSAMONTE TRAD-SUAVE x 1 kg.;ROSAMONTE;Almacen;BULTO;10;2.363,55;21;2859,90;0,00;3,00;5,00;Rosamonte;01/09/2026;ACTIVO
4802;7790015001217;YERBA PLAYADITO x 1 kg.;PLAYADITO;Almacen;BULTO;10;2.272,64;21;2749,90;0,00;3,00;5,00;Coop. Liebig;01/09/2026;ACTIVO
4803;7790015001224;YERBA TARAGUI x 500 gr.;TARAGUI;Almacen;BULTO;20;1.409,01;21;1704,90;0,00;3,00;5,00;Establecimiento Las Marias;01/09/2026;ACTIVO
4810;7790015001231;TE GREEN HILLS x 25 saq.;GREEN HILLS;Almacen;BULTO;24;1.090,83;21;1319,90;0,00;3,00;5,00;Molinos Rio de la Plata;01/09/2026;ACTIVO
4901;7790015001248;CACAO TODDY x 180 gr.;TODDY;Almacen;BULTO;24;1.136,28;21;1374,90;0,00;3,00;5,00;PepsiCo;01/09/2026;ACTIVO
4902;7790015001255;CACAO NESQUIK x 180 gr.;NESQUIK;Almacen;BULTO;24;1.454,46;21;1759,90;0,00;3,00;5,00;Nestle;01/09/2026;ACTIVO
4910;7790015001262;CAFE LA VIRGINIA MOLIDO x 500 gr.;LA VIRGINIA;Almacen;BULTO;12;6.591,65;21;7975,90;0,00;3,00;5,00;La Virginia;01/09/2026;ACTIVO
5001-5002;7790015001279;GALLETITAS LIA SURTIDO / VAINILLA x 400 gr.;LIA;Almacen;BULTO;18;1.363,55;21;1649,90;0,00;3,00;5,00;Arcor;01/09/2026;ACTIVO
5010;7790015001286;GALLETITAS MAROLIO SANDWICH x 303 gr.;MAROLIO;Almacen;BULTO;24;917,27;21;1109,90;0,00;3,00;5,00;Marolio SA;01/09/2026;ACTIVO
5020;7790015001293;GALLETITAS CRIOLLITAS x 300 gr.;CRIOLLITAS;Almacen;BULTO;24;1.318,10;21;1594,90;0,00;3,00;5,00;Mondelez;01/09/2026;ACTIVO
5030;7790015001309;BIZCOCHOS DON SATUR x 200 gr.;DON SATUR;Almacen;BULTO;24;1.045,37;21;1264,90;0,00;3,00;5,00;Don Satur;01/09/2026;ACTIVO
5101;7790015001316;SAL FINA CELUSAL x 500 gr.;CELUSAL;Almacen;BULTO;24;545,37;21;659,90;0,00;3,00;5,00;Celusal;01/09/2026;ACTIVO
5110;7790015001323;VINAGRE DE ALCOHOL MENOYO x 500 cc.;MENOYO;Almacen;BULTO;12;681,74;21;824,90;0,00;3,00;5,00;Menoyo;01/09/2026;ACTIVO
5120;7790015001330;POLENTA PRESTO PRONTA x 500 gr.;PRESTO PRONTA;Almacen;BULTO;20;954,46;21;1154,90;0,00;3,00;5,00;Molinos Rio de la Plata;01/09/2026;ACTIVO
6010;7790015001347;GAS. COCA / SPRITE / FANTA x 354 cc.;COCA COLA;Bebidas;BULTO;24;1.136,28;21;1374,90;0,00;2,00;3,50;Coca Cola Andina;01/09/2026;ACTIVO
6011;7790015001354;GAS. COCA / SPRITE / FANTA x 1,75 lt;COCA COLA;Bebidas;BULTO;6;3.090,83;21;3739,90;0,00;2,00;3,50;Coca Cola Andina;01/09/2026;ACTIVO
6012;7790015001361;GAS. COCA Z / SPRITE / FANTA x 2,25 lt ( SOLO AMBA );COCA COLA;Bebidas;BULTO;6;3.636,28;21;4399,90;0,00;2,00;3,50;Coca Cola Andina;01/09/2026;ACTIVO
6020;7790015001378;GAS. MANAOS COLA x 2,25 lt;MANAOS;Bebidas;BULTO;6;1.545,37;21;1869,90;0,00;2,00;3,50;Refres Now;01/09/2026;ACTIVO
6030;7790015001385;AGUA MINERAL GLACIAR x 6,4 lt;GLACIAR;Bebidas;BULTO;2;3.545,37;21;4289,90;0,00;2,00;3,50;Coca Cola Andina;01/09/2026;ACTIVO
6031;7790015001392;AGUA MINERAL VILLA DEL SUR x 2 lt;VILLA DEL SUR;Bebidas;BULTO;6;1.636,28;21;1979,90;0,00;2,00;3,50;Danone;01/09/2026;ACTIVO
6040;7790015001408;CERVEZA QUILMES CLASICA x 1 lt retornable;QUILMES;Bebidas;BULTO;12;2.090,83;21;2529,90;0,00;2,00;3,50;CCU;01/09/2026;ACTIVO
6041;7790015001415;CERVEZA BRAHMA x 473 cc. lata;BRAHMA;Bebidas;BULTO;24;1.363,55;21;1649,90;0,00;2,00;3,50;AB InBev;01/09/2026;ACTIVO
6050;7790015001422;FERNET 1882 x 750 cc.;1882;Bebidas;BULTO;6;6.272,64;21;7589,90;0,00;2,00;3,50;Porta Hnos;01/09/2026;ACTIVO
6051;7790015001439;APERITIVO GANCIA x 950 cc.;GANCIA;Bebidas;BULTO;6;5.727,19;21;6929,90;0,00;2,00;3,50;Gancia;01/09/2026;ACTIVO
6060;7790015001446;JUGO EN POLVO CLIGHT x 8 gr.;CLIGHT;Bebidas;BULTO;20;409,01;21;494,90;0,00;2,00;3,50;Mondelez;01/09/2026;ACTIVO
6061;7790015001453;JUGO BAGGIO MULTIFRUTA x 1 lt;BAGGIO;Bebidas;BULTO;12;1.318,10;21;1594,90;0,00;2,00;3,50;RPB SA;01/09/2026;ACTIVO
6070;7790015001460;VINO TORO TINTO x 1,25 lt;TORO;Bebidas;BULTO;6;2.727,19;21;3299,90;0,00;2,00;3,50;Peñaflor;01/09/2026;ACTIVO
7010;7790015001477;LECHE LS PET x 1 lt (excepto Comod. Rivadavia y Bariloche);LA SERENISIMA;Lacteos;BULTO;12;1.818,10;21;2199,90;0,00;2,00;3,00;Mastellone;01/09/2026;ACTIVO
7011;7790015001484;LECHE EN POLVO NIDO x 400 gr.;NIDO;Lacteos;BULTO;12;5.272,64;21;6379,90;0,00;2,00;3,00;Nestle;01/09/2026;ACTIVO
7020;7790015001491;YOGHURT LA SERENISIMA BEBIBLE x 190 gr.;LA SERENISIMA;Lacteos;BULTO;24;999,92;21;1209,90;0,00;2,00;3,00;Mastellone;01/09/2026;ACTIVO
7030;7790015001507;QUESO CASANCREM CLASICO x 500 gr.;CASANCREM;Lacteos;BULTO;12;4.909,01;21;5939,90;0,00;2,00;3,00;Mastellone;01/09/2026;ACTIVO
7031;7790015001514;QUESO CREMOSO x kg.;LA PAULINA;Lacteos;KG;1;6.528,84;21;7899,90;0,00;2,00;3,00;Sancor;01/09/2026;ACTIVO
7040;7790015001521;MANTECA LA SERENISIMA x 200 gr.;LA SERENISIMA;Lacteos;BULTO;24;2.999,92;21;3629,90;0,00;2,00;3,00;Mastellone;01/09/2026;ACTIVO
8010;7790015001538;LAVANDINA AYUDIN x 2 lt;AYUDIN;Limpieza;BULTO;6;1.590,83;21;1924,90;0,00;3,50;6,00;Clorox;01/09/2026;ACTIVO
8011;7790015001545;LAVANDINA MAROLIO x 1 lt;MAROLIO;Limpieza;BULTO;12;681,74;21;824,90;0,00;3,50;6,00;Marolio SA;01/09/2026;ACTIVO
8020;7790015001552;DETERGENTE MAGISTRAL x 300 cc.;MAGISTRAL;Limpieza;BULTO;12;1.818,10;21;2199,90;0,00;3,50;6,00;P&G;01/09/2026;ACTIVO
8021;7790015001569;DETERGENTE ALA x 750 cc.;ALA;Limpieza;BULTO;12;2.545,37;21;3079,90;0,00;3,50;6,00;Unilever;01/09/2026;ACTIVO
8030;7790015001576;JABON EN POLVO SKIP x 800 gr.;SKIP;Limpieza;BULTO;12;4.363,55;21;5279,90;0,00;3,50;6,00;Unilever;01/09/2026;ACTIVO
8031;7790015001583;JABON EN POLVO ALA x 400 gr.;ALA;Limpieza;BULTO;20;1.999,92;21;2419,90;0,00;3,50;6,00;Unilever;01/09/2026;ACTIVO
8040;7790015001590;SUAVIZANTE VIVERE x 900 cc.;VIVERE;Limpieza;BULTO;12;2.818,10;21;3409,90;0,00;3,50;6,00;Unilever;01/09/2026;ACTIVO
8050;7790015001606;ROLLO DE COCINA SUSSEX 3x50 un.;SUSSEX;Limpieza;BULTO;8;3.090,83;21;3739,90;0,00;3,50;6,00;Papelera del Plata;01/09/2026;ACTIVO
8051;7790015001613;PAPEL HIGIENICO ELEGANTE x 4 un. 30 mts;ELEGANTE;Limpieza;BULTO;10;2.454,46;21;2969,90;0,00;3,50;6,00;Papelera del Plata;01/09/2026;ACTIVO
8060;7790015001620;ESPONJA MORTIMER DOBLE USO x 1 un.;MORTIMER;Limpieza;BULTO;24;545,37;21;659,90;0,00;3,50;6,00;Mortimer;01/09/2026;ACTIVO
8070;7790015001637;LIMPIADOR CIF CREMA x 750 cc.;CIF;Limpieza;BULTO;12;2.545,37;21;3079,90;0,00;3,50;6,00;Unilever;01/09/2026;ACTIVO
9010;7790015001644;SHAMPOO DOVE x 400 ml.;DOVE;Perfumeria;BULTO;12;4.363,55;21;5279,90;0,00;4,00;7,00;Unilever;01/09/2026;ACTIVO
9011;7790015001651;SHAMPOO SEDAL x 340 ml.;SEDAL;Perfumeria;BULTO;12;3.272,64;21;3959,90;0,00;4,00;7,00;Unilever;01/09/2026;ACTIVO
9020;7790015001668;JABON DE TOCADOR LUX x 125 gr.;LUX;Perfumeria;BULTO;24;818,10;21;989,90;0,00;4,00;7,00;Unilever;01/09/2026;ACTIVO
9030;7790015001675;DESODORANTE REXONA AEROSOL x 150 ml.;REXONA;Perfumeria;BULTO;12;3.818,10;21;4619,90;0,00;4,00;7,00;Unilever;01/09/2026;ACTIVO
9040;7790015001682;PASTA DENTAL COLGATE TRIPLE x 90 gr.;COLGATE;Perfumeria;BULTO;24;1.818,10;21;2199,90;0,00;4,00;7,00;Colgate;01/09/2026;ACTIVO
9050-9051;7790015001699;PROT. FEMENINA ALWAYS C.ALAS / S/ALAS x 8 un.;ALWAYS;Perfumeria;BULTO;24;2.272,64;21;2749,90;0,00;4,00;7,00;P&G;01/09/2026;ACTIVO
9060;7790015001705;PAÑALES PAMPERS G x 30 un.;PAMPERS;Perfumeria;BULTO;4;15.454,46;21;18699,90;0,00;4,00;7,00;P&G;01/09/2026;ACTIVO
9510;7790015001712;ALFAJOR JORGITO x 1 un.;JORGITO;Kiosco;BULTO;60;545,37;21;659,90;0,00;3,00;5,00;Jorgito;01/09/2026;ACTIVO
9511;7790015001729;ALFAJOR GUAYMALLEN x 1 un.;GUAYMALLEN;Kiosco;BULTO;60;409,01;21;494,90;0,00;3,00;5,00;Guaymallen;01/09/2026;ACTIVO
9520;7790015001736;CHUPETIN POP x 1 un.;POP;Kiosco;BULTO;100;272,64;21;329,90;0,00;3,00;5,00;Arcor;01/09/2026;ACTIVO
9530;7790015001743;CHICLE BELDENT x 10 un.;BELDENT;Kiosco;BULTO;20;818,10;21;989,90;0,00;3,00;5,00;Mondelez;01/09/2026;ACTIVO
9540;7790015001750;PAPAS FRITAS LAYS x 65 gr.;LAYS;Kiosco;BULTO;20;1.818,10;21;2199,90;0,00;3,00;5,00;PepsiCo;01/09/2026;ACTIVO
9550;7790015001767;TURRON ARCOR x 25 gr.;ARCOR;Kiosco;BULTO;50;318,10;21;384,90;0,00;3,00;5,00;Arcor;01/09/2026;ACTIVO
9560;7790015001774;CHOCOLATE MILKA LECHE x 55 gr.;MILKA;Kiosco;BULTO;24;1.999,92;21;2419,90;0,00;3,00;5,00;Mondelez;01/09/2026;ACTIVO
