DISTRIBUIDORA PAMPA SUREÑA S.R.L.
CONTROL DE STOCK POR DEPOSITO - Corte al 02/09/2026, 18:00 hs
Disponible = Stock total - Comprometido. Comprometido son pedidos cargados sin despachar.
Stock minimo es el piso que no se debe perforar. Punto de reposicion es el nivel que dispara la compra.
AVER, TRAN y DEV son depositos logicos, no ubicaciones fisicas.

codigo;descripcion;rubro;deposito;deposito_nombre;ubicacion;unidad;unid_x_bulto;stock_bultos;stock_total_un;comprometido;disponible;stock_minimo;punto_reposicion;lote;vencimiento;ultimo_inventario
4803;YERBA TARAGUI x 500 gr.;Almacen;DEP01;Deposito Central;C-02-3;BULTO;20;121;2420;0;2420;500;900;L2608V;09/2028;29/08/2026
4810;TE GREEN HILLS x 25 saq.;Almacen;DEP01;Deposito Central;C-03-1;BULTO;24;95;2280;0;2280;400;700;L2606W;06/2028;29/08/2026
4901;CACAO TODDY x 180 gr.;Almacen;DEP01;Deposito Central;C-04-1;BULTO;24;112;2688;120;2568;500;900;L2607X;04/2028;29/08/2026
4902;CACAO NESQUIK x 180 gr.;Almacen;DEP01;Deposito Central;C-04-2;BULTO;24;58;1392;0;1392;300;550;L2606Y;02/2028;29/08/2026
4910;CAFE LA VIRGINIA MOLIDO x 500 gr.;Almacen;DEP01;Deposito Central;C-05-1;BULTO;12;39;468;24;444;200;380;L2605Z;12/2027;29/08/2026
5001-5002;GALLETITAS LIA SURTIDO / VAINILLA x 400 gr.;Almacen;DEP01;Deposito Central;D-01-1;BULTO;18;167;3006;180;2826;700;1200;L2608AA;05/2027;29/08/2026
5010;GALLETITAS MAROLIO SANDWICH x 303 gr.;Almacen;DEP01;Deposito Central;D-01-2;BULTO;24;194;4656;0;4656;800;1400;L2608AB;04/2027;29/08/2026
5020;GALLETITAS CRIOLLITAS x 300 gr.;Almacen;DEP01;Deposito Central;D-01-3;BULTO;24;76;1824;96;1728;400;700;L2607AC;03/2027;29/08/2026
5030;BIZCOCHOS DON SATUR x 200 gr.;Almacen;DEP01;Deposito Central;D-02-1;BULTO;24;103;2472;0;2472;450;800;L2608AD;01/2027;29/08/2026
5101;SAL FINA CELUSAL x 500 gr.;Almacen;DEP01;Deposito Central;D-03-1;BULTO;24;218;5232;0;5232;900;1500;L2604AE;12/2029;29/08/2026
5110;VINAGRE DE ALCOHOL MENOYO x 500 cc.;Almacen;DEP01;Deposito Central;D-03-2;BULTO;12;87;1044;36;1008;350;600;L2606AF;11/2028;29/08/2026
5120;POLENTA PRESTO PRONTA x 500 gr.;Almacen;DEP01;Deposito Central;D-04-1;BULTO;20;64;1280;0;1280;300;550;L2607AG;10/2027;29/08/2026
6010;GAS. COCA / SPRITE / FANTA x 354 cc.;Bebidas;DEP02;Deposito Bebidas;E-01-1;BULTO;24;312;7488;480;7008;1200;2000;L2608BA;03/2027;29/08/2026
6011;GAS. COCA / SPRITE / FANTA x 1,75 lt;Bebidas;DEP02;Deposito Bebidas;E-01-2;BULTO;6;148;888;60;828;500;900;L2608BB;02/2027;29/08/2026
6012;GAS. COCA Z / SPRITE / FANTA x 2,25 lt ( SOLO AMBA );Bebidas;DEP02;Deposito Bebidas;E-01-3;BULTO;6;96;576;36;540;400;700;L2608BC;02/2027;29/08/2026
6020;GAS. MANAOS COLA x 2,25 lt;Bebidas;DEP02;Deposito Bebidas;E-02-1;BULTO;6;204;1224;0;1224;700;1200;L2607BD;01/2027;29/08/2026
6030;AGUA MINERAL GLACIAR x 6,4 lt;Bebidas;DEP02;Deposito Bebidas;E-03-1;BULTO;2;71;142;20;122;250;450;L2608BE;09/2027;29/08/2026
6031;AGUA MINERAL VILLA DEL SUR x 2 lt;Bebidas;DEP02;Deposito Bebidas;E-03-2;BULTO;6;133;798;0;798;500;900;L2608BF;08/2027;29/08/2026
6040;CERVEZA QUILMES CLASICA x 1 lt retornable;Bebidas;DEP02;Deposito Bebidas;F-01-1;BULTO;12;89;1068;144;924;400;700;L2608BG;12/2026;29/08/2026
6041;CERVEZA BRAHMA x 473 cc. lata;Bebidas;DEP02;Deposito Bebidas;F-01-2;BULTO;24;156;3744;0;3744;600;1000;L2608BH;01/2027;29/08/2026
6050;FERNET 1882 x 750 cc.;Bebidas;DEP02;Deposito Bebidas;F-02-1;BULTO;6;43;258;18;240;150;280;L2606BJ;06/2029;29/08/2026
6051;APERITIVO GANCIA x 950 cc.;Bebidas;DEP02;Deposito Bebidas;F-02-2;BULTO;6;31;186;0;186;120;220;L2605BK;04/2029;29/08/2026
6060;JUGO EN POLVO CLIGHT x 8 gr.;Bebidas;DEP02;Deposito Bebidas;F-03-1;BULTO;20;187;3740;0;3740;700;1200;L2607BL;07/2027;29/08/2026
6061;JUGO BAGGIO MULTIFRUTA x 1 lt;Bebidas;DEP02;Deposito Bebidas;F-03-2;BULTO;12;112;1344;84;1260;450;800;L2608BM;05/2027;29/08/2026
6070;VINO TORO TINTO x 1,25 lt;Bebidas;DEP02;Deposito Bebidas;F-04-1;BULTO;6;67;402;0;402;250;450;L2604BN;11/2028;29/08/2026
7010;LECHE LS PET x 1 lt (excepto Comod. Rivadavia y Bariloche);Lacteos;FRIO;Camara de frio;G-01-1;BULTO;12;94;1128;180;948;400;700;L2609CA;18/09/2026;29/08/2026
7011;LECHE EN POLVO NIDO x 400 gr.;Lacteos;DEP01;Deposito Central;C-05-2;BULTO;12;52;624;0;624;200;380;L2607CB;08/2027;29/08/2026
7020;YOGHURT LA SERENISIMA BEBIBLE x 190 gr.;Lacteos;FRIO;Camara de frio;G-01-2;BULTO;24;118;2832;96;2736;500;900;L2609CC;22/09/2026;29/08/2026
7030;QUESO CASANCREM CLASICO x 500 gr.;Lacteos;FRIO;Camara de frio;G-02-1;BULTO;12;46;552;24;528;180;330;L2609CD;05/10/2026;29/08/2026
7031;QUESO CREMOSO x kg.;Lacteos;FRIO;Camara de frio;G-02-2;KG;1;0;0;0;0;80;150;L2609CE;28/09/2026;29/08/2026
7040;MANTECA LA SERENISIMA x 200 gr.;Lacteos;FRIO;Camara de frio;G-03-1;BULTO;24;73;1752;0;1752;300;550;L2609CF;12/11/2026;29/08/2026
8010;LAVANDINA AYUDIN x 2 lt;Limpieza;DEP01;Deposito Central;H-01-1;BULTO;6;138;828;72;756;500;900;L2607DA;07/2028;29/08/2026
8011;LAVANDINA MAROLIO x 1 lt;Limpieza;DEP01;Deposito Central;H-01-2;BULTO;12;176;2112;0;2112;700;1200;L2608DB;08/2028;29/08/2026
8020;DETERGENTE MAGISTRAL x 300 cc.;Limpieza;DEP01;Deposito Central;H-02-1;BULTO;12;91;1092;120;972;400;700;L2608DC;05/2029;29/08/2026
8021;DETERGENTE ALA x 750 cc.;Limpieza;DEP01;Deposito Central;H-02-2;BULTO;12;68;816;0;816;300;550;L2607DD;04/2029;29/08/2026
8030;JABON EN POLVO SKIP x 800 gr.;Limpieza;DEP01;Deposito Central;H-03-1;BULTO;12;54;648;48;600;250;450;L2606DE;09/2028;29/08/2026
8031;JABON EN POLVO ALA x 400 gr.;Limpieza;DEP01;Deposito Central;H-03-2;BULTO;20;129;2580;0;2580;500;900;L2608DF;10/2028;29/08/2026
8040;SUAVIZANTE VIVERE x 900 cc.;Limpieza;DEP01;Deposito Central;H-04-1;BULTO;12;83;996;36;960;350;600;L2607DG;06/2028;29/08/2026
8050;ROLLO DE COCINA SUSSEX 3x50 un.;Limpieza;DEP01;Deposito Central;J-01-1;BULTO;8;112;896;0;896;400;700;L2608DH;SIN VTO;29/08/2026
8051;PAPEL HIGIENICO ELEGANTE x 4 un. 30 mts;Limpieza;DEP01;Deposito Central;J-01-2;BULTO;10;197;1970;200;1770;800;1400;L2608DJ;SIN VTO;29/08/2026
8060;ESPONJA MORTIMER DOBLE USO x 1 un.;Limpieza;DEP01;Deposito Central;J-02-1;BULTO;24;241;5784;0;5784;900;1500;L2605DK;SIN VTO;29/08/2026
8070;LIMPIADOR CIF CREMA x 750 cc.;Limpieza;DEP01;Deposito Central;H-05-1;BULTO;12;77;924;0;924;300;550;L2607DL;03/2029;29/08/2026
9010;SHAMPOO DOVE x 400 ml.;Perfumeria;DEP01;Deposito Central;K-01-1;BULTO;12;64;768;48;720;250;450;L2607EA;11/2028;29/08/2026
9011;SHAMPOO SEDAL x 340 ml.;Perfumeria;DEP01;Deposito Central;K-01-2;BULTO;12;98;1176;0;1176;400;700;L2608EB;12/2028;29/08/2026
9020;JABON DE TOCADOR LUX x 125 gr.;Perfumeria;DEP01;Deposito Central;K-02-1;BULTO;24;183;4392;96;4296;700;1200;L2606EC;02/2029;29/08/2026
9030;DESODORANTE REXONA AEROSOL x 150 ml.;Perfumeria;DEP01;Deposito Central;K-03-1;BULTO;12;71;852;0;852;300;550;L2608ED;08/2028;29/08/2026
9040;PASTA DENTAL COLGATE TRIPLE x 90 gr.;Perfumeria;DEP01;Deposito Central;K-04-1;BULTO;24;126;3024;120;2904;500;900;L2607EE;05/2028;29/08/2026
9050-9051;PROT. FEMENINA ALWAYS C.ALAS / S/ALAS x 8 un.;Perfumeria;DEP01;Deposito Central;K-05-1;BULTO;24;89;2136;0;2136;350;600;L2608EF;01/2029;29/08/2026
9060;PAÑALES PAMPERS G x 30 un.;Perfumeria;DEP01;Deposito Central;K-06-1;BULTO;4;23;92;8;84;80;150;L2608EG;06/2029;29/08/2026
9510;ALFAJOR JORGITO x 1 un.;Kiosco;DEP01;Deposito Central;L-01-1;BULTO;60;34;2040;300;1740;1500;2600;L2609FA;10/12/2026;29/08/2026
9511;ALFAJOR GUAYMALLEN x 1 un.;Kiosco;DEP01;Deposito Central;L-01-2;BULTO;60;47;2820;0;2820;1500;2600;L2609FB;28/11/2026;29/08/2026
9520;CHUPETIN POP x 1 un.;Kiosco;DEP01;Deposito Central;L-02-1;BULTO;100;61;6100;0;6100;2000;3400;L2607FC;07/2027;29/08/2026
9530;CHICLE BELDENT x 10 un.;Kiosco;DEP01;Deposito Central;L-02-2;BULTO;20;88;1760;200;1560;800;1400;L2608FD;04/2027;29/08/2026
9540;PAPAS FRITAS LAYS x 65 gr.;Kiosco;DEP01;Deposito Central;L-03-1;BULTO;20;52;1040;120;920;400;700;L2609FE;15/11/2026;29/08/2026
9550;TURRON ARCOR x 25 gr.;Kiosco;DEP01;Deposito Central;L-04-1;BULTO;50;143;7150;0;7150;1500;2600;L2606FF;03/2027;29/08/2026
9560;CHOCOLATE MILKA LECHE x 55 gr.;Kiosco;DEP01;Deposito Central;L-05-1;BULTO;24;66;1584;96;1488;300;550;L2608FG;02/2027;29/08/2026
6040;CERVEZA QUILMES CLASICA x 1 lt retornable;Bebidas;AVER;Averias;AVERIAS;BULTO;12;3;36;0;36;0;0;L2608BG;12/2026;29/08/2026
8010;LAVANDINA AYUDIN x 2 lt;Limpieza;AVER;Averias;AVERIAS;BULTO;6;2;12;0;12;0;0;L2607DA;07/2028;29/08/2026
4802;YERBA PLAYADITO x 1 kg.;Almacen;TRAN;En transito;EN TRANSITO;BULTO;10;60;600;0;600;0;0;L2609U;07/2028;29/08/2026
7031;QUESO CREMOSO x kg.;Lacteos;TRAN;En transito;EN TRANSITO;KG;1;40;40;0;40;0;0;L2609CE;15/10/2026;29/08/2026
9060;PAÑALES PAMPERS G x 30 un.;Perfumeria;DEV;Devoluciones;DEVOLUCIONES;BULTO;4;4;16;0;16;0;0;L2608EG;06/2029;29/08/2026
